,cid,click_sum,like_sum,comment_sum,vts_mean,hb_mean
0,744307,0.0,0.0,0.06329113924050633,0.0,0.0
1,744100,0.0,0.02044989775051125,0.0,0.0,0.0
2,809668,0.0,0.06134969325153375,0.25316455696202533,0.0,0.0
3,798472,0.0,0.02044989775051125,0.0,0.0,0.0
4,798458,0.0,0.0408997955010225,0.0,7.889051094890512,0.0304444741997663
5,808084,0.0,0.06134969325153375,0.12658227848101267,8.019464720194648,0.06363345186332808
6,796623,0.0,0.0408997955010225,0.189873417721519,0.0,0.0
7,771486,0.0,0.0,0.0,8.97323600973236,0.0332095406047389
8,779153,0.0,0.0,0.0,9.411192214111923,0.05762843557437259
9,781509,0.0,0.0408997955010225,0.12658227848101267,0.0,0.0
10,825055,0.0,0.26584867075664625,0.25316455696202533,2.24330900243309,0.01602914309829042
11,808060,0.0,0.06134969325153375,0.0,8.120681265206812,0.03381189057034234
12,762165,0.0,0.02044989775051125,0.06329113924050633,0.0,0.0
13,780964,0.0,0.06134969325153375,0.0,0.0,0.0
14,757413,0.0,0.0,0.0,0.0,0.0
15,813265,0.0,0.14314928425357873,0.379746835443038,0.0,0.0
16,828892,0.0,0.0,0.0,0.0,0.0
17,811436,0.0,0.02044989775051125,0.189873417721519,0.0,0.0
18,809751,0.0,0.02044989775051125,0.06329113924050633,8.087591240875913,0.0499088760628522
19,781290,0.0,0.0,0.0,0.0,0.0
20,796611,0.0,0.0408997955010225,0.25316455696202533,0.0,0.0
21,811794,0.0,0.0,0.0,0.0,0.0
22,770563,0.0,0.0,0.06329113924050633,0.0,0.0
23,811439,0.0,0.0408997955010225,0.31645569620253167,0.0,0.0
24,742391,0.0,0.0,0.06329113924050633,0.0,0.0
25,809655,0.0,0.1226993865030675,0.12658227848101267,0.0,0.0
26,798355,0.0,0.0408997955010225,0.0,0.0,0.0
27,638074,0.0,0.02044989775051125,0.0,0.0,0.0
28,778921,0.0,0.081799591002045,0.06329113924050633,0.0,0.0
29,759218,0.0,0.06134969325153375,0.0,0.0,0.0
30,780011,0.0,0.0,0.0,0.0,0.0
31,824761,0.0,0.02044989775051125,0.25316455696202533,0.0,0.0
32,792228,0.0,0.0,0.0,9.333333333333334,0.05078464861838003
33,794168,0.0,0.0,0.06329113924050633,9.099756690997568,0.05258553478880605
34,811648,0.0,0.26584867075664625,0.31645569620253167,0.0,0.0
35,798320,0.0,0.14314928425357873,0.25316455696202533,0.0,0.0
36,795217,0.0,0.06134969325153375,0.0,0.0,0.0
37,827066,0.0,0.0,0.06329113924050633,9.29440389294404,0.03505154172061555
38,759101,0.0,0.02044989775051125,0.0,0.0,0.0
39,782932,0.0,0.0,0.0,0.0,0.0
40,796337,0.0,0.0408997955010225,0.12658227848101267,0.0,0.0
41,809778,0.0,0.20449897750511248,0.31645569620253167,0.0,0.0
42,780925,0.0,0.0,0.0,0.0,0.0
43,793881,0.0,0.10224948875255624,0.0,0.0,0.0
44,810810,0.0,0.26584867075664625,0.12658227848101267,1.4695863746958637,0.008299300553766677
45,825066,0.0,0.02044989775051125,0.12658227848101267,0.0,0.0
46,847712,0.0041407867494824,0.0,0.0,0.0,0.0
47,830502,0.0041407867494824,0.02044989775051125,0.379746835443038,0.0,0.0
48,805872,0.0041407867494824,0.0408997955010225,0.31645569620253167,0.0,0.0
49,810393,0.0041407867494824,0.20449897750511248,0.31645569620253167,0.0,0.0
50,406669,0.0041407867494824,0.081799591002045,0.0,6.204379562043796,0.07561892328058986
51,810433,0.0041407867494824,0.10224948875255624,0.25316455696202533,0.0,0.0
52,846585,0.0041407867494824,0.0,0.0,9.367396593673966,0.02463146853398151
53,832419,0.0041407867494824,0.02044989775051125,0.25316455696202533,0.0,0.0
54,817482,0.0041407867494824,0.0408997955010225,0.25316455696202533,0.0,0.0
55,789220,0.0041407867494824,0.1226993865030675,0.44303797468354433,0.0,0.0
56,804756,0.0041407867494824,0.0,0.0,0.0,0.0
57,775433,0.0041407867494824,0.0,0.0,0.0,0.0
